,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
69815,2588.2,85.562,26.554,0.249,5.127,2.18,15/9-F-11 A
69816,2588.3,85.596,25.661,0.246,5.037,2.183,15/9-F-11 A
69817,2588.4,85.021,25.427,0.243,5.0,2.193,15/9-F-11 A
69818,2588.5,83.764,25.686,0.236,4.977,2.209,15/9-F-11 A
69819,2588.6,82.533,24.855,0.226,4.953,2.224,15/9-F-11 A
69820,2588.7,81.413,25.02,0.218,4.939,2.236,15/9-F-11 A
69821,2588.8,80.262,25.629,0.213,4.948,2.245,15/9-F-11 A
69822,2588.9,79.44,26.665,0.211,4.973,2.253,15/9-F-11 A
69823,2589.0,79.686,26.043,0.213,4.989,2.259,15/9-F-11 A
69824,2589.1,80.948,26.184,0.213,4.982,2.263,15/9-F-11 A
69825,2589.2,82.573,26.654,0.21,4.967,2.264,15/9-F-11 A
69826,2589.3,83.305,26.756,0.21,4.968,2.263,15/9-F-11 A
69827,2589.4,84.037,26.857,0.209,4.969,2.262,15/9-F-11 A
69828,2589.5,85.18,26.987,0.21,4.992,2.261,15/9-F-11 A
69829,2589.6,86.107,27.086,0.208,5.011,2.26,15/9-F-11 A
69830,2589.7,86.693,26.362,0.206,5.0,2.261,15/9-F-11 A
69831,2589.8,87.478,26.146,0.207,4.963,2.261,15/9-F-11 A
69832,2589.9,88.356,26.847,0.206,4.918,2.26,15/9-F-11 A
69833,2590.0,88.975,27.646,0.208,4.893,2.259,15/9-F-11 A
69834,2590.1,89.41,27.428,0.214,4.918,2.259,15/9-F-11 A
69835,2590.2,89.685,29.921,0.226,5.043,2.264,15/9-F-11 A
69836,2590.3,89.523,35.445,0.239,5.293,2.275,15/9-F-11 A
69837,2590.4,88.939,41.969,0.248,5.641,2.297,15/9-F-11 A
69838,2590.5,87.974,46.436,0.254,6.023,2.329,15/9-F-11 A
69839,2590.6,87.208,49.185,0.254,6.38,2.368,15/9-F-11 A
69840,2590.7,86.061,48.965,0.253,6.712,2.408,15/9-F-11 A
69841,2590.8,84.494,52.202,0.252,7.011,2.441,15/9-F-11 A
69842,2590.9,83.733,56.954,0.254,7.174,2.462,15/9-F-11 A
69843,2591.0,83.249,57.067,0.255,7.137,2.472,15/9-F-11 A
69844,2591.1,83.084,54.373,0.253,6.92,2.471,15/9-F-11 A
69845,2591.2,83.544,48.03,0.25,6.541,2.455,15/9-F-11 A
69846,2591.3,84.149,42.92,0.244,6.032,2.419,15/9-F-11 A
69847,2591.4,84.882,40.414,0.242,5.538,2.365,15/9-F-11 A
69848,2591.5,85.576,39.801,0.244,5.259,2.316,15/9-F-11 A
69849,2591.6,86.27,38.956,0.244,5.169,2.286,15/9-F-11 A
69850,2591.7,86.627,38.122,0.246,5.147,2.277,15/9-F-11 A
69851,2591.8,86.983,37.29,0.247,5.124,2.267,15/9-F-11 A
69852,2591.9,87.977,36.951,0.252,5.094,2.252,15/9-F-11 A
69853,2592.0,89.088,35.339,0.251,5.087,2.239,15/9-F-11 A
69854,2592.1,90.327,34.695,0.252,5.103,2.228,15/9-F-11 A
69855,2592.2,91.608,34.101,0.254,5.129,2.219,15/9-F-11 A
69856,2592.3,93.05,33.614,0.256,5.148,2.211,15/9-F-11 A
69857,2592.4,94.969,33.458,0.258,5.15,2.202,15/9-F-11 A
69858,2592.5,97.434,33.625,0.265,5.143,2.193,15/9-F-11 A
69859,2592.6,100.118,34.971,0.274,5.17,2.184,15/9-F-11 A
69860,2592.7,102.795,36.186,0.291,5.257,2.177,15/9-F-11 A
69861,2592.8,104.933,37.457,0.318,5.424,2.174,15/9-F-11 A
69862,2592.9,106.685,40.557,0.354,5.737,2.178,15/9-F-11 A
69863,2593.0,107.75,46.431,0.387,6.232,2.193,15/9-F-11 A
69864,2593.1,108.503,54.663,0.411,6.867,2.215,15/9-F-11 A
69865,2593.2,108.977,64.582,0.413,7.528,2.235,15/9-F-11 A
69866,2593.3,108.622,70.507,0.389,8.038,2.241,15/9-F-11 A
69867,2593.4,108.449,66.063,0.348,8.169,2.227,15/9-F-11 A
69868,2593.5,108.401,60.506,0.321,7.763,2.201,15/9-F-11 A
69869,2593.6,108.09,53.814,0.307,6.994,2.186,15/9-F-11 A
69870,2593.7,108.601,49.455,0.31,6.277,2.192,15/9-F-11 A
69871,2593.8,109.874,49.271,0.327,5.834,2.21,15/9-F-11 A
69872,2593.9,111.153,53.365,0.348,5.723,2.231,15/9-F-11 A
69873,2594.0,111.928,57.1,0.361,5.812,2.241,15/9-F-11 A
69874,2594.1,112.703,60.842,0.374,5.902,2.251,15/9-F-11 A
69875,2594.2,114.548,68.804,0.398,6.281,2.274,15/9-F-11 A
69876,2594.3,115.486,76.88,0.426,6.722,2.299,15/9-F-11 A
69877,2594.4,116.454,83.885,0.445,7.079,2.322,15/9-F-11 A
69878,2594.5,117.528,84.167,0.453,7.263,2.335,15/9-F-11 A
69879,2594.6,119.132,85.249,0.439,7.294,2.338,15/9-F-11 A
69880,2594.7,120.351,83.27,0.403,7.217,2.336,15/9-F-11 A
69881,2594.8,120.839,79.72,0.362,7.046,2.334,15/9-F-11 A
69882,2594.9,120.749,76.286,0.328,6.755,2.333,15/9-F-11 A
69883,2595.0,120.1,71.113,0.309,6.386,2.332,15/9-F-11 A
69884,2595.1,118.514,64.389,0.303,6.077,2.332,15/9-F-11 A
69885,2595.2,117.224,59.999,0.313,5.987,2.332,15/9-F-11 A
69886,2595.3,115.914,57.16,0.327,6.173,2.333,15/9-F-11 A
69887,2595.4,114.37,58.534,0.357,6.535,2.333,15/9-F-11 A
69888,2595.5,112.885,63.215,0.383,6.918,2.334,15/9-F-11 A
69889,2595.6,111.756,70.414,0.409,7.23,2.342,15/9-F-11 A
69890,2595.7,111.734,79.079,0.436,7.48,2.359,15/9-F-11 A
69891,2595.8,112.724,82.068,0.454,7.721,2.38,15/9-F-11 A
69892,2595.9,113.949,81.838,0.472,7.963,2.401,15/9-F-11 A
69893,2596.0,114.381,80.914,0.481,8.168,2.415,15/9-F-11 A
69894,2596.1,114.284,80.006,0.479,8.29,2.424,15/9-F-11 A
69895,2596.2,113.824,79.814,0.471,8.32,2.426,15/9-F-11 A
69896,2596.3,113.307,79.864,0.467,8.299,2.426,15/9-F-11 A
69897,2596.4,112.789,79.916,0.464,8.277,2.426,15/9-F-11 A
69898,2596.5,112.495,80.459,0.461,8.18,2.423,15/9-F-11 A
69899,2596.6,112.728,80.338,0.454,8.031,2.418,15/9-F-11 A
69900,2596.7,113.574,79.996,0.449,7.835,2.407,15/9-F-11 A
69901,2596.8,114.475,80.917,0.446,7.616,2.392,15/9-F-11 A
69902,2596.9,115.415,83.253,0.448,7.424,2.375,15/9-F-11 A
69903,2597.0,116.231,82.836,0.459,7.289,2.362,15/9-F-11 A
69904,2597.1,116.775,85.743,0.474,7.222,2.355,15/9-F-11 A
69905,2597.2,117.067,86.98,0.484,7.229,2.354,15/9-F-11 A
69906,2597.3,117.363,88.423,0.495,7.28,2.355,15/9-F-11 A
69907,2597.4,117.269,89.987,0.495,7.332,2.356,15/9-F-11 A
69908,2597.5,116.73,90.539,0.484,7.343,2.356,15/9-F-11 A
69909,2597.6,114.7,87.52,0.471,7.305,2.353,15/9-F-11 A
69910,2597.7,112.021,87.186,0.451,7.253,2.349,15/9-F-11 A
69911,2597.8,108.568,88.533,0.431,7.208,2.347,15/9-F-11 A
69912,2597.9,105.412,87.957,0.411,7.168,2.35,15/9-F-11 A
69913,2598.0,102.78,88.184,0.393,7.115,2.357,15/9-F-11 A
69914,2598.1,100.972,85.468,0.375,7.044,2.367,15/9-F-11 A
69915,2598.2,99.408,83.154,0.36,6.989,2.379,15/9-F-11 A
69916,2598.3,98.35,80.262,0.367,6.982,2.389,15/9-F-11 A
69917,2598.4,98.251,77.333,0.374,7.042,2.396,15/9-F-11 A
69918,2598.5,98.343,75.848,0.386,7.153,2.401,15/9-F-11 A
69919,2598.6,98.612,81.168,0.389,7.278,2.405,15/9-F-11 A
69920,2598.7,99.22,84.73,0.382,7.363,2.406,15/9-F-11 A
69921,2598.8,99.68,86.275,0.372,7.265,2.397,15/9-F-11 A
69922,2598.9,100.124,87.813,0.363,7.166,2.389,15/9-F-11 A
69923,2599.0,100.684,85.819,0.363,6.913,2.376,15/9-F-11 A
69924,2599.1,101.141,84.024,0.364,6.732,2.369,15/9-F-11 A
69925,2599.2,101.548,81.153,0.372,6.742,2.369,15/9-F-11 A
69926,2599.3,101.917,78.515,0.381,6.919,2.372,15/9-F-11 A
69927,2599.4,102.162,77.612,0.39,7.13,2.374,15/9-F-11 A
69928,2599.5,102.39,78.257,0.391,7.275,2.375,15/9-F-11 A
69929,2599.6,102.938,80.689,0.397,7.367,2.377,15/9-F-11 A
69930,2599.7,103.426,83.214,0.403,7.45,2.378,15/9-F-11 A
69931,2599.8,103.904,85.282,0.403,7.502,2.377,15/9-F-11 A
69932,2599.9,104.69,85.269,0.393,7.418,2.369,15/9-F-11 A
69933,2600.0,104.605,82.748,0.371,7.126,2.356,15/9-F-11 A
69934,2600.1,103.827,79.399,0.341,6.654,2.338,15/9-F-11 A
